query,title,abstract,year,authors,venue,citations,url,relevance
"""International Yoga Day""",Yoga for postoperative convalescence-International yoga day,"“International Yoga Day” stands as the testimonial symbol of the  [ 1 , 2 ] International Yoga  Day, a global celebration is a  , while speaking on 11 th International Yoga Day’ [Figure 1],",2025.0,"['BB Agarwal', 'N Agarwal', 'K Bhattacharya']",Indian Journal of Colo …,1,https://journals.lww.com/ijcr/fulltext/2025/05000/yoga_for_postoperative_convalescence_.2.aspx?context=latestarticles,7
"""International Day of Yoga""",Synergizing yoga science and society for well-being through innovative yoga practices on International Day of Yoga 2024,"International Day of Yoga celebrations typically include mass  initiatives on 10 th International  Day of Yoga 2024, focusing  The events held on International Day of Yoga 2024 at AIIMS",2025.0,"['D Javed', 'C Surywanshi', 'V Malhotra']",Future …,1,https://futurehealthjournal.com/synergizing-yoga-science-and-society-for-well-being-through-innovative-yoga-practices-on-international-day-of-yoga-2024/,6
"""International Day of Yoga""",International Yoga Day,"This declaration came after the call for the adoption of June 21 as International Day of Yoga  by  The rst International Day of Yoga was observed on June 21, 2015 by people across the",2016.0,['GS Pardeshi'],Journal of Krishna Institute of Medical Sciences …,1,"http://www.jkimsu.com/jkimsu-vol5no1/JKIMSU,%20Vol.%205,%20No.%201,%20Jan-March%202016%20Page%201-4.pdf",13
"""International Day of Yoga""","Yoga For Lifestyle Diseases BConference Held On 2Nd International Day Of Yoga-2016 At Kolar, India","`Yoga for Lifestyle Diseases': Conference held on 2nd International Day of Yoga-2016 at  ‘Yoga  for Lifestyle Diseases’: Conference held on 2nd International Day of Yoga-2016 at Kolar,",2016.0,"['NJ Patil', 'PN Venkatarathnamma', 'S RamchandraRao']",,1,https://dspace.sduaher.ac.in/jspui/bitstream/123456789/6893/1/145.pdf,6
"""International Day of Yoga""","Yoga in India and the International Day of Yoga: An Anthropological Analysis of Lifestyle, Cultural Heritage and Global Co-existence","This research paper analyzes International Yoga Day from an anthropological perspective,  attempting to understand the global rise of yoga in the context of a healthy lifestyle, Indian",2025.0,"['SK Dwivedi', 'R Patel']",The Asian Man,0,https://indianjournals.com/article/am-19-1and2-026,13
"""International Day of Yoga""",International day of yoga: understanding its neural mechanisms and clinical applications in brain health,Yoga has become popular in the West as a practice that helps enhance people's health and  improve their physical and mental well-being. (1) There is a growing scientific interest in,2025.0,"['C Fetter', 'MC Irigoyen']",Frontiers in Human Neuroscience,0,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2025.1625827/full,6
"""International Yoga Day""",Speech on District Level Programme on International Yoga Day,"आप सभी को सु भात एवंनम कार! 1. सव थम आप सभी को"" अंतरा य योग दवस"" क हा  दक बधाई और ढेर सार शुभकामनाएँ। 10व अंतरा य योग दवस पर आयोिजत इस योग",2024.0,['GC Kataria'],,0,http://rbassam.digitallibrary.co.in/bitstream/123456789/345/1/21-06-2024___%20Speech%20on%20District%20Level%20Programme%20on%20International%20Yoga%20Day.pdf,7
"""International Day of Yoga""",Impact of International Day of Yoga and thrust from the Government in bringing Yoga to daily lives of people,"to observe June 21 as “International Day of Yoga,” which was  21 is celebrated every year  as International Day of Yoga (IDY)  inaugurated the first International Day of Yoga on June 21,",2023.0,"['RM Raghavendra', 'HS Vadiraja']",Journal of Research …,0,https://journals.lww.com/jras/fulltext/2023/07001/research_initiatives_and_network_linkages_in.14.aspx,7
"""International Yoga Day""",The message of international yoga day,The third International Yoga Day is being celebrated globally  message for the first International  Yoga Day had stated that &# for the first and second International Yoga Day celebrations.,2017.0,['G Pal'],International Journal of Clinical and Experimental …,0,https://go.gale.com/ps/i.do?id=GALE%7CA499324371&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=23488093&p=HRCA&sw=w,7
"""International Yoga Day""",Message from international yoga day,"his message for the first International Yoga Day stated that ""&# parts of the world for  International Yoga Day. Referring to the  [sup]st as the International Yoga Day, the resolution",2015.0,['G Pal'],International Journal of Clinical and Experimental …,0,https://go.gale.com/ps/i.do?id=GALE%7CA423552678&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=23488093&p=AONE&sw=w,7
"""International Yoga Day""",India's International Yoga Day was supposed to promote peace and harmony-but it didn't turn out that way,"He used the occasion to propose an International Yoga Day, eventually supported by 177   On June 21, the first International Yoga Day, Modi will share his ""oneness"" experience with",2015.0,['A Gowen'],The Washington Post,0,https://go.gale.com/ps/i.do?id=GALE%7CA417286543&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=01908286&p=AONE&sw=w,7
"""International Day of Yoga""",Yoga and Basic Medical Sciences First Year of International Day of Yoga 21 June 2015,"effort of Honorable Prime Minister of India Shri Narendra Modi, United Nations General  Assembly (UNGA) declared and celebrated on 21 June as INTERNATIONAL DAY OF YOGA for",2015.0,['J Bhatt'],Indian Journal of Applied Basic Medical Sciences,0,https://indianjournals.com/api/article-view/ijabms-17b-25-editorial,6
"""International Day of Yoga""",First International Yoga Day was Observed on 21 June 2015,"Long before the UN declaration of June 21 as International Day of Yoga, formal and informal  groups of yoga teachers and enthusiasts had celebrated World Yoga Day on various other",,['B Ki-moon'],,0,http://gewashington.blogspot.ae/2015/?view=classic,13
"""International Day of Yoga""",Yoga-based and Mindfulness-based cognitive research: A decade prior and following the announcement of International Day of Yoga,YBMB cognitive research has increased after the announcement of the International Day  of Yoga (IDY). Duration of intervention was increased up to two years after announcement of,,"['N Saini', 'K Maity', 'J SHARMA', 'P Sarpal']",Frontiers in Integrative …,0,https://www.frontiersin.org/journals/integrative-neuroscience/articles/10.3389/fnint.2025.1556818/abstract,7
"""International Yoga Day""",IDA celebrated International Yoga Day 21st June 2022,This app has an in-built calculator for calculating dosages of drugs for children. It also makes  a prescription ready to share in various ways. PREASY makes prescriptions three times,,['SM Abhiyan'],,0,https://openurl.ebsco.com/fulltext/gcd:158357118,7
"""International Yoga Day""",Celebration of International Yoga Day,"Till dignitaries and Audience. Prof. Kishor Munshi, then delivered the seminar on “Electric  Vehicle Design-challenges and opportunities”. He said “All should learn from our past 10–12",,"['H Patil', 'M Director', 'MA Nashik', 'DGM Mahajan']",,0,http://210.212.188.196:8080/jspui/bitstream/123456789/1386/3/May-June_20181.pdf,7
